"date","followers","following","tweets","favorites"
"2022-02-07",623400,5307,4024,14212
"2022-02-06",619504,5285,4015,14229
"2022-02-05",615686,5279,3998,14185
"2022-02-04",612711,5274,3982,14157
"2022-02-03",609222,5271,3974,14134
"2022-02-02",605234,5267,3965,14119
"2022-02-01",600019,5258,3949,14087
"2022-01-31",594834,5250,3935,14055
"2022-01-30",589914,5247,3923,14038
"2022-01-29",583802,5241,3912,14021
"2022-01-28",579520,5236,3902,13999
"2022-01-27",574032,5232,3888,13976
"2022-01-26",567143,5224,3876,13949
"2022-01-25",558911,5220,3866,13925
"2022-01-24",551931,5213,3857,13907
"2022-01-23",545569,5210,3849,13893
"2022-01-22",539547,5201,3824,13834
"2022-01-21",532154,5180,3759,13712
"2022-01-20",525015,5165,3733,13659
"2022-01-19",519112,5160,3714,13632
"2022-01-18",513080,5159,3704,13611
"2022-01-17",507341,5156,3693,13591
"2022-01-16",501129,5153,3680,13563
"2022-01-15",495366,5145,3669,13529
"2022-01-14",490400,5138,3655,13499
"2022-01-13",484362,5132,3643,13459
"2022-01-12",479603,5078,3629,13428
"2022-01-11",475029,5058,3617,13402
"2022-01-10",470099,5048,3602,13366
"2022-01-09",465113,5044,3595,13340
"2022-01-08",460126,5036,3578,13305
"2022-01-07",455970,5025,3562,13272
"2022-01-06",451300,5016,3553,13242
"2022-01-05",446230,5004,3542,13214
"2022-01-04",440190,5001,3531,13191
"2022-01-03",433336,4997,3523,13177
"2022-01-02",426728,4996,3514,13155
"2022-01-01",421055,4989,3500,13120
"2021-12-31",416835,4985,3487,13079
"2021-12-30",413104,4980,3475,13050
"2021-12-29",408403,4971,3466,13027
"2021-12-28",404099,4950,3447,12977
"2021-12-27",399898,4940,3434,12938
"2021-12-26",396373,4940,3425,12909
"2021-12-25",393583,4935,3418,12886
"2021-12-24",390801,4931,3408,12848
"2021-12-23",387858,4928,3396,12823
"2021-12-22",384845,4922,3385,12794
"2021-12-21",382084,4919,3377,12781
"2021-12-20",378781,4916,3369,12752
"2021-12-19",375591,4914,3358,12731
"2021-12-18",372281,4909,3345,12702
"2021-12-17",367066,4906,3333,12677
"2021-12-16",363752,4902,3321,12646
"2021-12-15",360507,4897,3312,12620
"2021-12-14",357780,4893,3305,12591
"2021-12-13",353748,4886,3296,12568
"2021-12-12",350708,4880,3285,12539
"2021-12-11",348607,4876,3273,12506
