"date","followers","following","tweets","favorites"
"2022-02-07",67444,1,1068,1253
"2022-02-06",67099,1,1067,1161
"2022-02-05",66981,1,1067,1162
"2022-02-04",66945,1,1067,1162
"2022-02-03",66889,1,1067,1159
"2022-02-02",66806,1,1062,1157
"2022-02-01",66650,1,1058,1152
"2022-01-31",66447,1,1051,1147
"2022-01-30",65816,1,1033,1139
"2022-01-29",65487,1,1025,1134
"2022-01-28",64692,1,1022,1131
"2022-01-27",64577,1,1021,1130
"2022-01-26",64536,1,1019,1129
"2022-01-25",64373,1,1018,1128
"2022-01-24",64289,1,1017,1128
"2022-01-23",64195,1,1017,1128
"2022-01-22",64082,1,1016,1128
"2022-01-21",63925,1,1013,1125
"2022-01-20",63777,1,1011,1124
"2022-01-19",63497,1,1010,1122
"2022-01-18",62916,1,1008,1121
"2022-01-17",62740,1,1008,1121
"2022-01-16",62469,1,1007,1120
"2022-01-15",62399,1,1007,1120
"2022-01-14",62253,1,1007,1120
"2022-01-13",62097,1,1007,1120
"2022-01-12",61940,1,1007,1120
"2022-01-11",61793,1,1007,1120
"2022-01-10",61654,1,1007,1120
"2022-01-09",61481,1,1007,1120
"2022-01-08",61207,1,1007,1120
"2022-01-07",60996,1,1007,1121
"2022-01-06",60820,1,1007,1121
"2022-01-05",60575,1,1006,1120
"2022-01-04",59868,1,1003,1116
"2022-01-03",59536,1,1002,1117
"2022-01-02",59053,1,1001,1117
"2022-01-01",58384,1,1000,1098
"2021-12-31",58184,1,995,1096
"2021-12-30",57946,1,995,1096
"2021-12-29",56784,1,994,1092
"2021-12-28",56561,1,994,1092
"2021-12-27",56127,1,991,1091
"2021-12-26",56019,1,990,1090
"2021-12-25",55914,1,990,1090
"2021-12-24",55850,1,989,1089
"2021-12-23",55751,1,989,1089
"2021-12-22",55498,1,990,1089
"2021-12-21",55434,1,987,1087
"2021-12-20",55269,1,987,1087
"2021-12-19",54961,1,984,1083
"2021-12-18",54834,1,983,1082
"2021-12-17",54701,1,982,1054
"2021-12-16",54645,1,981,1054
"2021-12-15",54571,1,981,1054
"2021-12-14",54478,1,981,1054
"2021-12-13",54354,1,982,1056
"2021-12-12",54238,1,981,1054
"2021-12-11",54210,1,981,1054
"2021-12-10",54129,1,980,1054
"2021-12-09",54031,1,980,1054
"2021-12-08",53898,1,979,1053
"2021-12-07",53763,1,967,1042
"2021-12-06",53603,1,952,1026
"2021-12-05",53492,1,946,1025
"2021-12-04",53452,1,944,1023
"2021-12-03",53347,1,942,1021
"2021-12-02",53266,1,941,1021
"2021-12-01",53164,1,938,1020
"2021-11-30",53030,1,937,1018
"2021-11-29",52858,1,936,1018
"2021-11-28",52654,1,933,1018
"2021-11-27",52464,1,930,1016
"2021-11-26",52323,1,921,1011
"2021-11-25",52113,1,921,1011
"2021-11-24",51762,1,915,1007
"2021-11-23",51523,1,909,1005
"2021-11-22",51059,1,907,1002
"2021-11-21",50438,1,886,990
"2021-11-20",49832,1,843,977
"2021-11-19",49581,1,840,976
"2021-11-18",49368,1,838,973
"2021-11-17",49175,1,838,973
"2021-11-16",48650,1,834,971
"2021-11-15",48229,1,831,969
"2021-11-14",47946,1,828,967
"2021-11-13",47725,1,822,960
"2021-11-12",47415,1,816,958
"2021-11-11",46388,1,807,944
"2021-11-10",45986,1,806,926
"2021-11-09",45585,1,801,920
"2021-11-08",45305,1,797,914
"2021-11-07",45047,1,792,910
"2021-11-06",44881,1,790,906
"2021-11-05",44630,1,788,905
"2021-11-04",44321,1,785,901
"2021-11-03",43797,1,783,897
"2021-11-02",43339,1,778,894
"2021-11-01",42766,1,771,889
"2021-10-31",42444,1,769,888
"2021-10-30",42031,1,758,867
"2021-10-29",41724,1,752,860
"2021-10-28",41202,1,747,855
"2021-10-27",41057,1,747,855
"2021-10-26",40833,1,742,852
"2021-10-25",40483,1,735,846
"2021-10-24",40257,1,730,842
"2021-10-23",39953,1,725,838
"2021-10-22",39816,1,725,838
"2021-10-21",39622,1,722,836
"2021-10-20",39436,1,720,835
"2021-10-19",39101,1,714,833
"2021-10-18",38853,1,706,816
"2021-10-17",38431,1,706,815
"2021-10-16",38131,1,704,814
"2021-10-15",37879,1,697,808
"2021-10-14",37594,1,696,809
"2021-10-13",37105,1,686,797
"2021-10-12",36553,1,682,794
"2021-10-11",35508,1,673,789
"2021-10-10",33617,1,668,779
"2021-10-09",30448,1,653,762
"2021-10-08",30032,1,642,752
"2021-10-07",29474,1,631,747
"2021-10-06",28556,1,625,739
"2021-10-05",26921,1,590,709
"2021-10-04",26065,1,561,680
"2021-10-03",25329,1,552,672
"2021-10-02",25086,1,549,667
"2021-10-01",24845,1,543,662
"2021-09-30",24497,1,536,656
"2021-09-29",24259,1,532,651
"2021-09-28",24119,1,530,651
"2021-09-27",23704,1,523,643
"2021-09-26",22905,5,499,630
"2021-09-25",22761,5,496,627
"2021-09-24",22647,5,493,626
"2021-09-23",22604,5,493,626
"2021-09-22",22553,4,492,626
"2021-09-21",22311,4,487,611
"2021-09-20",22269,4,486,609
"2021-09-19",22194,4,485,608
"2021-09-18",22111,4,485,607
"2021-09-16",21980,4,481,604
"2021-09-15",21949,4,476,602
"2021-09-14",21899,4,476,602
"2021-09-13",21839,4,474,602
"2021-09-12",21768,4,474,602
"2021-09-11",21671,4,474,602
"2021-09-10",21554,4,470,597
"2021-09-09",21481,4,469,597
"2021-09-08",21423,4,466,595
"2021-09-07",21309,4,465,593
"2021-09-06",21095,4,462,591
"2021-09-05",20885,4,453,582
"2021-09-04",20734,4,452,582
"2021-09-03",20559,4,449,570
"2021-09-02",20448,4,449,570
"2021-09-01",20275,4,444,565
"2021-08-31",20102,4,443,564
"2021-08-30",19827,4,442,561
"2021-08-29",19571,4,439,559
"2021-08-28",19378,4,439,559
"2021-08-27",19074,4,435,555
"2021-08-26",18817,4,417,552
"2021-08-25",18465,4,406,548
"2021-08-24",17977,4,393,542
"2021-08-23",17216,4,370,530
"2021-08-22",16451,4,340,518
"2021-08-21",15922,3,318,510
"2021-08-20",15607,3,305,499
"2021-08-19",15374,3,298,487
"2021-08-18",15128,3,294,484
"2021-08-17",14873,3,287,480
"2021-08-16",14437,3,281,475
"2021-08-15",14227,3,272,474
"2021-08-14",13964,3,253,470
"2021-08-13",13691,4,249,468
"2021-08-12",12908,4,215,449
"2021-08-11",12757,4,212,447
"2021-08-10",12505,4,207,443
"2021-08-09",12366,4,204,440
"2021-08-08",12092,4,201,439
"2021-08-07",11779,4,198,435
"2021-08-06",11401,4,185,428
"2021-08-05",11010,4,175,420
"2021-08-04",10482,4,161,412
"2021-08-03",9846,3,153,407
"2021-08-02",9152,3,148,402
"2021-08-01",7436,3,140,397
"2021-07-31",6619,3,125,385
"2021-07-30",6561,3,125,385
"2021-07-29",6484,3,122,382
"2021-07-28",6357,3,118,377
"2021-07-27",6348,3,118,377
"2021-07-26",6343,3,118,377
"2021-07-25",6340,3,118,377
"2021-07-24",6314,3,117,377
"2021-07-23",6314,3,117,377
"2021-07-22",6311,3,117,377
"2021-07-21",6314,3,117,377
"2021-07-20",6312,3,117,377
"2021-07-19",6306,3,117,377
"2021-07-18",6301,3,117,377
"2021-07-17",6294,3,117,377
"2021-07-16",6296,3,117,377
"2021-07-15",6283,3,117,377
"2021-07-14",6280,3,117,377
"2021-07-13",6277,3,117,376
"2021-07-12",6277,3,117,375
"2021-07-11",6280,3,117,375
"2021-07-10",6276,3,117,375
"2021-07-09",6269,3,117,375
"2021-07-08",6261,2,116,372
"2021-07-07",6258,2,116,372
"2021-07-06",6254,2,116,372
"2021-07-05",6237,2,116,372
"2021-07-04",6233,2,116,372
"2021-07-03",6229,2,116,372
"2021-07-02",6223,2,116,372
"2021-07-01",6214,2,116,372
"2021-06-30",6198,2,116,372
"2021-06-29",5986,2,116,372
"2021-06-28",5981,2,116,372
"2021-06-27",5964,2,116,372
"2021-06-26",5895,2,113,367
"2021-06-25",5885,2,112,362
"2021-06-24",5882,2,112,351
"2021-06-23",5889,2,112,351
"2021-06-22",5882,2,112,350
"2021-06-21",5880,2,112,350
"2021-06-20",5869,2,112,350
"2021-06-19",5869,2,112,350
"2021-06-18",5869,2,112,350
"2021-06-17",5871,2,112,350
"2021-06-16",5876,2,112,350
"2021-06-15",5877,2,112,350
"2021-06-14",5874,2,112,350
"2021-06-13",5866,2,112,350
"2021-06-12",5853,2,112,350
"2021-06-11",5850,2,112,350
"2021-06-10",5848,2,112,350
"2021-06-09",5853,2,112,351
"2021-06-08",5849,2,112,351
"2021-06-07",5845,2,112,351
"2021-06-06",5843,2,112,351
"2021-06-05",5829,2,111,350
"2021-06-04",5823,2,111,350
"2021-06-03",5809,2,111,350
"2021-06-02",5810,2,111,350
