"date","followers","following","tweets","favorites"
"2022-02-07",107093,910,4413,16036
"2022-02-06",106250,910,4394,15983
"2022-02-05",105300,905,4371,15753
"2022-02-04",104567,904,4343,15701
"2022-02-03",103815,900,4311,15651
"2022-02-02",102930,900,4302,15638
"2022-02-01",102137,900,4275,15601
"2022-01-31",101313,897,4260,15589
"2022-01-30",100210,896,4234,15515
"2022-01-29",99458,896,4224,15497
"2022-01-28",98697,894,4209,15465
"2022-01-27",97864,882,4170,15354
"2022-01-26",96893,879,4154,15317
"2022-01-25",96111,878,4122,15231
"2022-01-24",94350,877,4105,15203
"2022-01-23",92864,877,4097,15181
"2022-01-22",92076,874,4077,15131
"2022-01-21",91101,872,4066,15109
"2022-01-20",90243,872,4045,15066
"2022-01-19",89009,873,4033,15036
"2022-01-18",87710,873,3987,14910
"2022-01-17",86236,873,3975,14880
"2022-01-16",85000,872,3956,14827
"2022-01-15",83836,872,3931,14747
"2022-01-14",82539,870,3879,14539
"2022-01-13",80354,863,3827,14395
"2022-01-12",78111,855,3678,13834
"2022-01-11",76901,842,3648,13752
"2022-01-10",75904,830,3613,13674
"2022-01-09",75008,823,3580,13510
"2022-01-08",73760,821,3478,13271
"2022-01-07",72968,820,3383,13040
"2022-01-06",72272,820,3351,12934
"2022-01-05",70768,815,3315,12796
"2022-01-04",70096,813,3268,12693
"2022-01-03",69690,813,3257,12584
"2022-01-02",69287,812,3241,12541
"2022-01-01",68967,811,3226,12453
"2021-12-31",68738,810,3213,12429
"2021-12-30",68330,806,3194,12345
"2021-12-29",68003,806,3175,12321
"2021-12-28",67623,795,3084,12160
"2021-12-27",67221,791,3055,12055
"2021-12-26",66728,791,3047,12034
"2021-12-25",66337,790,3039,12022
"2021-12-24",66215,789,3030,11994
"2021-12-23",65992,788,3007,11951
"2021-12-22",65601,788,2987,11918
"2021-12-21",65353,788,2929,11803
"2021-12-20",65095,786,2917,11787
"2021-12-19",64926,783,2899,11757
"2021-12-18",64653,783,2873,11715
"2021-12-17",64361,784,2862,11673
"2021-12-16",63952,783,2849,11618
"2021-12-15",63673,776,2838,11581
"2021-12-14",63433,776,2833,11568
"2021-12-13",63191,776,2814,11540
"2021-12-12",62951,775,2793,11480
"2021-12-11",62754,774,2780,11441
"2021-12-10",62452,774,2767,11411
"2021-12-09",61968,773,2757,11388
"2021-12-08",61615,772,2737,11310
"2021-12-07",61305,771,2709,11280
"2021-12-06",61026,768,2698,11247
"2021-12-05",60731,766,2693,11226
"2021-12-04",60482,764,2678,11192
