"","date","variable","value"
"1",2021-05-01,"followers",4092
"2",2021-05-02,"followers",5807
"3",2021-05-03,"followers",8529
"4",2021-05-04,"followers",9093
"5",2021-05-05,"followers",9525
"6",2021-05-06,"followers",9968
"7",2021-05-07,"followers",10471
"8",2021-05-08,"followers",10637
"9",2021-05-09,"followers",10868
"10",2021-05-10,"followers",11045
"11",2021-05-11,"followers",11184
"12",2021-05-12,"followers",11336
"13",2021-05-13,"followers",11406
"14",2021-05-14,"followers",11503
"15",2021-05-15,"followers",11592
"16",2021-05-16,"followers",11783
"17",2021-05-17,"followers",11939
"18",2021-05-18,"followers",12156
"19",2021-05-19,"followers",12266
"20",2021-05-20,"followers",12358
"21",2021-05-21,"followers",12484
"22",2021-05-22,"followers",12663
"23",2021-05-23,"followers",12829
"24",2021-05-24,"followers",12976
"25",2021-05-25,"followers",13123
"26",2021-05-26,"followers",13225
"27",2021-05-27,"followers",13357
"28",2021-05-28,"followers",13463
"29",2021-05-29,"followers",13586
"30",2021-05-30,"followers",13807
"31",2021-05-31,"followers",14508
"32",2021-06-01,"followers",15033
"33",2021-06-02,"followers",15709
"34",2021-06-03,"followers",16090
"35",2021-06-04,"followers",16503
"36",2021-06-05,"followers",16802
"37",2021-06-06,"followers",17144
"38",2021-06-07,"followers",17561
"39",2021-06-08,"followers",18446
"40",2021-06-09,"followers",18870
"41",2021-06-10,"followers",19158
"42",2021-06-11,"followers",19429
"43",2021-06-12,"followers",19645
"44",2021-06-13,"followers",19824
"45",2021-06-14,"followers",20053
"46",2021-06-15,"followers",20443
"47",2021-06-16,"followers",20725
"48",2021-06-17,"followers",21071
"49",2021-06-18,"followers",21418
"50",2021-06-19,"followers",21904
"51",2021-06-20,"followers",22629
"52",2021-06-21,"followers",23306
"53",2021-06-22,"followers",23799
"54",2021-06-23,"followers",24290
"55",2021-06-24,"followers",24727
"56",2021-06-25,"followers",25049
"57",2021-06-26,"followers",25913
"58",2021-06-27,"followers",26418
"59",2021-06-28,"followers",26744
"60",2021-06-29,"followers",27024
"61",2021-06-30,"followers",27357
"62",2021-07-01,"followers",27685
"63",2021-07-02,"followers",27827
"64",2021-07-03,"followers",28039
"65",2021-07-04,"followers",28269
"66",2021-07-05,"followers",28472
"67",2021-07-06,"followers",28722
"68",2021-07-07,"followers",29038
"69",2021-07-08,"followers",29316
"70",2021-07-09,"followers",29541
"71",2021-07-10,"followers",29730
"72",2021-07-11,"followers",29939
"73",2021-07-12,"followers",30253
"74",2021-07-13,"followers",30683
"75",2021-07-14,"followers",31100
"76",2021-07-15,"followers",31442
"77",2021-07-16,"followers",31860
"78",2021-07-17,"followers",32298
"79",2021-07-18,"followers",32869
"80",2021-07-19,"followers",33324
"81",2021-07-20,"followers",33640
"82",2021-07-21,"followers",33986
"83",2021-07-22,"followers",34255
"84",2021-07-23,"followers",34673
"85",2021-07-24,"followers",34959
"86",2021-07-25,"followers",35224
"87",2021-07-26,"followers",35598
"88",2021-07-27,"followers",35863
"89",2021-07-28,"followers",36166
"90",2021-07-29,"followers",36451
"91",2021-07-30,"followers",36757
"92",2021-07-31,"followers",37362
"93",2021-08-01,"followers",38227
"94",2021-08-02,"followers",39210
"95",2021-08-03,"followers",39908
"96",2021-08-04,"followers",40970
"97",2021-08-05,"followers",42532
"98",2021-08-06,"followers",43403
"99",2021-08-07,"followers",44470
"100",2021-08-08,"followers",45305
"101",2021-08-09,"followers",46604
"102",2021-08-10,"followers",47595
"103",2021-08-11,"followers",48480
"104",2021-08-12,"followers",49629
"105",2021-08-13,"followers",50588
"106",2021-08-14,"followers",51233
"107",2021-08-15,"followers",53469
"108",2021-08-16,"followers",55023
"109",2021-08-17,"followers",56187
"110",2021-08-18,"followers",56984
"111",2021-08-19,"followers",57765
"112",2021-08-20,"followers",58711
"113",2021-08-21,"followers",60559
"114",2021-08-22,"followers",62511
"115",2021-08-23,"followers",65261
"116",2021-08-24,"followers",68285
"117",2021-08-25,"followers",71901
"118",2021-08-26,"followers",74235
"119",2021-08-27,"followers",76251
"120",2021-08-28,"followers",78687
"121",2021-08-29,"followers",89766
"122",2021-08-30,"followers",102259
"123",2021-08-31,"followers",108849
"124",2021-09-01,"followers",113476
"125",2021-09-02,"followers",117101
"126",2021-09-03,"followers",119961
"127",2021-09-04,"followers",122375
"128",2021-09-05,"followers",124905
"129",2021-09-06,"followers",127992
"130",2021-09-07,"followers",130479
"131",2021-09-08,"followers",132428
"132",2021-09-09,"followers",133987
"133",2021-09-10,"followers",133987
"134",2021-09-11,"followers",133987
"135",2021-09-12,"followers",138387
"136",2021-09-13,"followers",139788
"137",2021-09-14,"followers",141308
"138",2021-09-15,"followers",141308
"139",2021-09-16,"followers",144428
"140",2021-09-17,"followers",146145
"141",2021-09-18,"followers",147744
"142",2021-09-19,"followers",148851
"143",2021-09-20,"followers",150176
"144",2021-09-21,"followers",151221
"145",2021-09-22,"followers",153040
"146",2021-09-23,"followers",154255
"147",2021-09-24,"followers",155672
"148",2021-09-25,"followers",157212
"149",2021-09-26,"followers",158336
"150",2021-09-27,"followers",159423
"151",2021-09-28,"followers",160762
"152",2021-09-29,"followers",162822
"153",2021-09-30,"followers",164132
"154",2021-10-01,"followers",165860
"155",2021-10-02,"followers",165860
"156",2021-10-03,"followers",168161
"157",2021-10-04,"followers",168161
"158",2021-10-05,"followers",170704
"159",2021-10-06,"followers",171875
"160",2021-10-07,"followers",174422
"161",2021-10-08,"followers",175844
"162",2021-10-09,"followers",178474
"163",2021-10-10,"followers",180264
"164",2021-10-11,"followers",182365
"165",2021-10-12,"followers",184112
"166",2021-10-13,"followers",186010
"167",2021-10-14,"followers",187567
"168",2021-10-15,"followers",188862
"169",2021-10-16,"followers",190016
"170",2021-10-17,"followers",191043
"171",2021-10-18,"followers",191043
"172",2021-10-19,"followers",193567
"173",2021-10-20,"followers",193567
"174",2021-10-21,"followers",193567
"175",2021-10-22,"followers",193567
"176",2021-10-23,"followers",193567
"177",2021-10-24,"followers",201004
"178",2021-10-25,"followers",201004
"179",2021-10-26,"followers",201004
"180",2021-10-27,"followers",205712
"181",2021-10-28,"followers",207050
"182",2021-10-29,"followers",208832
"183",2021-10-30,"followers",210339
"184",2021-10-31,"followers",210339
"185",2021-11-01,"followers",210339
"186",2021-11-02,"followers",220702
"187",2021-11-03,"followers",223285
"188",2021-11-04,"followers",225736
"189",2021-11-05,"followers",225736
"190",2021-11-06,"followers",225736
"191",2021-11-07,"followers",225736
"192",2021-11-08,"followers",225736
"193",2021-11-09,"followers",237041
"194",2021-11-10,"followers",238722
"195",2021-11-11,"followers",240547
"196",2021-11-12,"followers",240547
"197",2021-11-13,"followers",240547
"198",2021-11-14,"followers",249952
"199",2021-11-15,"followers",256211
"200",2021-11-16,"followers",262313
"201",2021-11-17,"followers",269018
"202",2021-11-18,"followers",273230
"203",2021-11-19,"followers",276536
"204",2021-11-20,"followers",278946
"205",2021-11-21,"followers",281272
"206",2021-11-22,"followers",284238
"207",2021-11-23,"followers",286993
"208",2021-11-24,"followers",289235
"209",2021-11-25,"followers",291262
"210",2021-11-26,"followers",293378
"211",2021-11-27,"followers",295357
"212",2021-11-28,"followers",297662
"213",2021-11-29,"followers",305024
