"","date","variable","value"
"1",2021-02-23,"followers",1880
"2",2021-02-24,"followers",1943
"3",2021-02-25,"followers",2001
"4",2021-02-26,"followers",2040
"5",2021-02-27,"followers",2083
"6",2021-02-28,"followers",2144
"7",2021-03-01,"followers",2243
"8",2021-03-02,"followers",2464
"9",2021-03-03,"followers",2605
"10",2021-03-04,"followers",2741
"11",2021-03-05,"followers",2796
"12",2021-03-06,"followers",2850
"13",2021-03-07,"followers",2928
"14",2021-03-08,"followers",3040
"15",2021-03-09,"followers",3483
"16",2021-03-10,"followers",3677
"17",2021-03-11,"followers",3784
"18",2021-03-12,"followers",3851
"19",2021-03-13,"followers",3906
"20",2021-03-14,"followers",3972
"21",2021-03-15,"followers",4033
"22",2021-03-16,"followers",4088
"23",2021-03-17,"followers",4130
"24",2021-03-18,"followers",4171
"25",2021-03-19,"followers",4222
"26",2021-03-20,"followers",4262
"27",2021-03-21,"followers",4296
"28",2021-03-22,"followers",4350
"29",2021-03-23,"followers",4383
"30",2021-03-24,"followers",4411
"31",2021-03-25,"followers",4432
"32",2021-03-26,"followers",4451
"33",2021-03-27,"followers",4483
"34",2021-03-28,"followers",4515
"35",2021-03-29,"followers",4547
"36",2021-03-30,"followers",4552
"37",2021-03-31,"followers",4587
"38",2021-04-01,"followers",4639
"39",2021-04-02,"followers",4670
"40",2021-04-03,"followers",4690
"41",2021-04-04,"followers",4729
"42",2021-04-05,"followers",4784
"43",2021-04-06,"followers",4807
"44",2021-04-07,"followers",4842
"45",2021-04-08,"followers",4860
"46",2021-04-09,"followers",4877
"47",2021-04-10,"followers",4883
"48",2021-04-11,"followers",4905
"49",2021-04-12,"followers",4924
"50",2021-04-13,"followers",4946
"51",2021-04-14,"followers",4983
"52",2021-04-15,"followers",5001
"53",2021-04-16,"followers",5010
"54",2021-04-17,"followers",5025
"55",2021-04-18,"followers",5035
"56",2021-04-19,"followers",5057
"57",2021-04-20,"followers",5071
"58",2021-04-21,"followers",5152
"59",2021-04-22,"followers",5176
"60",2021-04-23,"followers",5176
"61",2021-04-24,"followers",5184
"62",2021-04-25,"followers",5196
"63",2021-04-26,"followers",5208
"64",2021-04-27,"followers",5225
"65",2021-04-28,"followers",5234
"66",2021-04-29,"followers",5238
"67",2021-04-30,"followers",5244
"68",2021-05-01,"followers",5415
"69",2021-05-02,"followers",5460
"70",2021-05-03,"followers",5487
"71",2021-05-04,"followers",5501
"72",2021-05-05,"followers",5514
"73",2021-05-06,"followers",5533
"74",2021-05-07,"followers",5537
"75",2021-05-08,"followers",5568
"76",2021-05-09,"followers",5586
"77",2021-05-10,"followers",5589
"78",2021-05-11,"followers",5586
"79",2021-05-12,"followers",5597
"80",2021-05-13,"followers",5632
"81",2021-05-14,"followers",5655
"82",2021-05-15,"followers",5676
"83",2021-05-16,"followers",5685
"84",2021-05-17,"followers",5710
"85",2021-05-18,"followers",5724
"86",2021-05-19,"followers",5739
"87",2021-05-20,"followers",5753
"88",2021-05-21,"followers",5759
"89",2021-05-22,"followers",5768
"90",2021-05-23,"followers",5771
"91",2021-05-24,"followers",5771
"92",2021-05-25,"followers",5775
"93",2021-05-26,"followers",5775
"94",2021-05-27,"followers",5770
"95",2021-05-28,"followers",5778
"96",2021-05-29,"followers",5774
"97",2021-05-30,"followers",5782
"98",2021-05-31,"followers",5782
"99",2021-06-01,"followers",5794
"100",2021-06-02,"followers",5810
"101",2021-06-03,"followers",5809
"102",2021-06-04,"followers",5823
"103",2021-06-05,"followers",5829
"104",2021-06-06,"followers",5843
"105",2021-06-07,"followers",5845
"106",2021-06-08,"followers",5849
"107",2021-06-09,"followers",5853
"108",2021-06-10,"followers",5848
"109",2021-06-11,"followers",5850
"110",2021-06-12,"followers",5853
"111",2021-06-13,"followers",5866
"112",2021-06-14,"followers",5874
"113",2021-06-15,"followers",5877
"114",2021-06-16,"followers",5876
"115",2021-06-17,"followers",5871
"116",2021-06-18,"followers",5869
"117",2021-06-19,"followers",5869
"118",2021-06-20,"followers",5869
"119",2021-06-21,"followers",5880
"120",2021-06-22,"followers",5882
"121",2021-06-23,"followers",5889
"122",2021-06-24,"followers",5882
"123",2021-06-25,"followers",5885
"124",2021-06-26,"followers",5895
"125",2021-06-27,"followers",5964
"126",2021-06-28,"followers",5981
"127",2021-06-29,"followers",5986
"128",2021-06-30,"followers",6198
"129",2021-07-01,"followers",6214
"130",2021-07-02,"followers",6223
"131",2021-07-03,"followers",6229
"132",2021-07-04,"followers",6233
"133",2021-07-05,"followers",6237
"134",2021-07-06,"followers",6254
"135",2021-07-07,"followers",6258
"136",2021-07-08,"followers",6261
"137",2021-07-09,"followers",6269
"138",2021-07-10,"followers",6276
"139",2021-07-11,"followers",6280
"140",2021-07-12,"followers",6277
"141",2021-07-13,"followers",6277
"142",2021-07-14,"followers",6280
"143",2021-07-15,"followers",6283
"144",2021-07-16,"followers",6296
"145",2021-07-17,"followers",6294
"146",2021-07-18,"followers",6301
"147",2021-07-19,"followers",6306
"148",2021-07-20,"followers",6312
"149",2021-07-21,"followers",6314
"150",2021-07-22,"followers",6311
"151",2021-07-23,"followers",6314
"152",2021-07-24,"followers",6314
"153",2021-07-25,"followers",6340
"154",2021-07-26,"followers",6343
"155",2021-07-27,"followers",6348
"156",2021-07-28,"followers",6357
"157",2021-07-29,"followers",6484
"158",2021-07-30,"followers",6561
"159",2021-07-31,"followers",6619
"160",2021-08-01,"followers",7436
"161",2021-08-02,"followers",9152
"162",2021-08-03,"followers",9846
"163",2021-08-04,"followers",10482
"164",2021-08-05,"followers",11010
"165",2021-08-06,"followers",11401
"166",2021-08-07,"followers",11779
"167",2021-08-08,"followers",12092
"168",2021-08-09,"followers",12366
"169",2021-08-10,"followers",12505
"170",2021-08-11,"followers",12757
"171",2021-08-12,"followers",12908
"172",2021-08-13,"followers",13691
"173",2021-08-14,"followers",13964
"174",2021-08-15,"followers",14227
"175",2021-08-16,"followers",14437
"176",2021-08-17,"followers",14873
"177",2021-08-18,"followers",15128
"178",2021-08-19,"followers",15374
"179",2021-08-20,"followers",15607
"180",2021-08-21,"followers",15922
"181",2021-08-22,"followers",16451
"182",2021-08-23,"followers",17216
"183",2021-08-24,"followers",17977
"184",2021-08-25,"followers",18465
"185",2021-08-26,"followers",18817
"186",2021-08-27,"followers",19074
"187",2021-08-28,"followers",19378
"188",2021-08-29,"followers",19571
"189",2021-08-30,"followers",19827
"190",2021-08-31,"followers",20102
"191",2021-09-01,"followers",20275
"192",2021-09-02,"followers",20448
"193",2021-09-03,"followers",20559
"194",2021-09-04,"followers",20734
"195",2021-09-05,"followers",20885
"196",2021-09-06,"followers",21095
"197",2021-09-07,"followers",21309
"198",2021-09-08,"followers",21423
"199",2021-09-09,"followers",21481
"200",2021-09-10,"followers",21554
"201",2021-09-11,"followers",21671
"202",2021-09-12,"followers",21768
"203",2021-09-13,"followers",21839
"204",2021-09-14,"followers",21899
"205",2021-09-15,"followers",21949
"206",2021-09-16,"followers",21980
"207",2021-09-17,"followers",21980
"208",2021-09-18,"followers",22111
"209",2021-09-19,"followers",22194
"210",2021-09-20,"followers",22269
"211",2021-09-21,"followers",22311
"212",2021-09-22,"followers",22553
"213",2021-09-23,"followers",22604
"214",2021-09-24,"followers",22647
"215",2021-09-25,"followers",22761
"216",2021-09-26,"followers",22905
"217",2021-09-27,"followers",23704
"218",2021-09-28,"followers",24119
"219",2021-09-29,"followers",24259
"220",2021-09-30,"followers",24497
"221",2021-10-01,"followers",24845
"222",2021-10-02,"followers",25086
"223",2021-10-03,"followers",25329
"224",2021-10-04,"followers",26065
"225",2021-10-05,"followers",26921
"226",2021-10-06,"followers",28556
"227",2021-10-07,"followers",29474
"228",2021-10-08,"followers",30032
"229",2021-10-09,"followers",30448
"230",2021-10-10,"followers",33617
"231",2021-10-11,"followers",35508
"232",2021-10-12,"followers",36553
"233",2021-10-13,"followers",37105
"234",2021-10-14,"followers",37594
"235",2021-10-15,"followers",37879
"236",2021-10-16,"followers",38131
"237",2021-10-17,"followers",38431
"238",2021-10-18,"followers",38853
"239",2021-10-19,"followers",39101
"240",2021-10-20,"followers",39436
"241",2021-10-21,"followers",39622
"242",2021-10-22,"followers",39816
"243",2021-10-23,"followers",39953
"244",2021-10-24,"followers",40257
"245",2021-10-25,"followers",40483
"246",2021-10-26,"followers",40833
"247",2021-10-27,"followers",41057
"248",2021-10-28,"followers",41202
"249",2021-10-29,"followers",41724
"250",2021-10-30,"followers",42031
"251",2021-10-31,"followers",42444
"252",2021-11-01,"followers",42766
"253",2021-11-02,"followers",43339
"254",2021-11-03,"followers",43797
"255",2021-11-04,"followers",44321
"256",2021-11-05,"followers",44630
"257",2021-11-06,"followers",44881
"258",2021-11-07,"followers",45047
"259",2021-11-08,"followers",45305
"260",2021-11-09,"followers",45585
"261",2021-11-10,"followers",45986
"262",2021-11-11,"followers",46388
"263",2021-11-12,"followers",47415
"264",2021-11-13,"followers",47725
"265",2021-11-14,"followers",47946
"266",2021-11-15,"followers",48229
"267",2021-11-16,"followers",48650
"268",2021-11-17,"followers",49175
"269",2021-11-18,"followers",49368
"270",2021-11-19,"followers",49581
"271",2021-11-20,"followers",49832
"272",2021-11-21,"followers",50438
"273",2021-11-22,"followers",51059
"274",2021-11-23,"followers",51523
"275",2021-11-24,"followers",51762
"276",2021-11-25,"followers",52113
"277",2021-11-26,"followers",52323
"278",2021-11-27,"followers",52464
"279",2021-11-28,"followers",52654
"280",2021-11-29,"followers",52858
"281",2021-11-30,"followers",53030
"282",2021-12-01,"followers",53164
"283",2021-12-02,"followers",53266
"284",2021-12-03,"followers",53347
"285",2021-12-04,"followers",53452
"286",2021-12-05,"followers",53492
"287",2021-12-06,"followers",53603
"288",2021-12-07,"followers",53763
"289",2021-12-08,"followers",53898
"290",2021-12-09,"followers",54031
"291",2021-12-10,"followers",54129
"292",2021-12-11,"followers",54210
"293",2021-12-12,"followers",54238
"294",2021-12-13,"followers",54354
"295",2021-12-14,"followers",54478
"296",2021-12-15,"followers",54571
"297",2021-12-16,"followers",54645
"298",2021-12-17,"followers",54701
"299",2021-12-18,"followers",54834
"300",2021-12-19,"followers",54961
"301",2021-12-20,"followers",55269
"302",2021-12-21,"followers",55434
"303",2021-12-22,"followers",55498
"304",2021-12-23,"followers",55751
"305",2021-12-24,"followers",55850
"306",2021-12-25,"followers",55914
"307",2021-12-26,"followers",56019
"308",2021-12-27,"followers",56127
"309",2021-12-28,"followers",56561
"310",2021-12-29,"followers",56784
"311",2021-12-30,"followers",57946
"312",2021-12-31,"followers",58184
"313",2022-01-01,"followers",58384
"314",2022-01-02,"followers",59053
"315",2022-01-03,"followers",59536
"316",2022-01-04,"followers",59868
"317",2022-01-05,"followers",60575
"318",2022-01-06,"followers",60820
"319",2022-01-07,"followers",60996
"320",2022-01-08,"followers",61207
"321",2022-01-09,"followers",61481
"322",2022-01-10,"followers",61654
"323",2022-01-11,"followers",61793
"324",2022-01-12,"followers",61940
"325",2022-01-13,"followers",62097
"326",2022-01-14,"followers",62253
"327",2022-01-15,"followers",62399
"328",2022-01-16,"followers",62469
"329",2022-01-17,"followers",62740
"330",2022-01-18,"followers",62916
"331",2022-01-19,"followers",63497
"332",2022-01-20,"followers",63777
"333",2022-01-21,"followers",63925
"334",2022-01-22,"followers",64082
"335",2022-01-23,"followers",64195
"336",2022-01-24,"followers",64289
"337",2022-01-25,"followers",64373
"338",2022-01-26,"followers",64536
"339",2022-01-27,"followers",64577
"340",2022-01-28,"followers",64692
"341",2022-01-29,"followers",65487
"342",2022-01-30,"followers",65816
"343",2022-01-31,"followers",66447
"344",2022-02-01,"followers",66650
"345",2022-02-02,"followers",66806
"346",2022-02-03,"followers",66889
"347",2022-02-04,"followers",66945
"348",2022-02-05,"followers",66981
"349",2022-02-06,"followers",67099
"350",2022-02-07,"followers",67444
