"","date","variable","value"
"1",2021-08-01,"followers",4750
"2",2021-08-02,"followers",5393
"3",2021-08-03,"followers",6258
"4",2021-08-04,"followers",6653
"5",2021-08-05,"followers",7066
"6",2021-08-06,"followers",7318
"7",2021-08-07,"followers",7546
"8",2021-08-08,"followers",7546
"9",2021-08-09,"followers",9543
"10",2021-08-10,"followers",10047
"11",2021-08-11,"followers",10582
"12",2021-08-12,"followers",10907
"13",2021-08-13,"followers",11158
"14",2021-08-14,"followers",11404
"15",2021-08-15,"followers",11717
"16",2021-08-16,"followers",11982
"17",2021-08-17,"followers",12711
"18",2021-08-18,"followers",13228
"19",2021-08-19,"followers",13534
"20",2021-08-20,"followers",13777
"21",2021-08-21,"followers",14032
"22",2021-08-22,"followers",14389
"23",2021-08-23,"followers",14819
"24",2021-08-24,"followers",15630
"25",2021-08-25,"followers",15630
"26",2021-08-26,"followers",17620
"27",2021-08-27,"followers",18706
"28",2021-08-28,"followers",19601
"29",2021-08-29,"followers",20839
"30",2021-08-30,"followers",22118
"31",2021-08-31,"followers",23132
"32",2021-09-01,"followers",23797
"33",2021-09-02,"followers",24396
"34",2021-09-03,"followers",25061
"35",2021-09-04,"followers",25702
"36",2021-09-05,"followers",26612
"37",2021-09-06,"followers",27151
"38",2021-09-07,"followers",27756
"39",2021-09-08,"followers",28154
"40",2021-09-09,"followers",28154
"41",2021-09-10,"followers",28884
"42",2021-09-11,"followers",29272
"43",2021-09-12,"followers",29528
"44",2021-09-13,"followers",29781
"45",2021-09-14,"followers",30115
"46",2021-09-15,"followers",30328
"47",2021-09-16,"followers",30638
"48",2021-09-17,"followers",30913
"49",2021-09-18,"followers",31191
"50",2021-09-19,"followers",31511
"51",2021-09-20,"followers",31764
"52",2021-09-21,"followers",32107
"53",2021-09-22,"followers",32438
"54",2021-09-23,"followers",32656
"55",2021-09-24,"followers",33204
"56",2021-09-25,"followers",33475
"57",2021-09-26,"followers",33908
"58",2021-09-27,"followers",34289
"59",2021-09-28,"followers",34784
"60",2021-09-29,"followers",35239
"61",2021-09-30,"followers",35673
"62",2021-10-01,"followers",35995
"63",2021-10-02,"followers",36300
"64",2021-10-03,"followers",36615
"65",2021-10-04,"followers",37021
"66",2021-10-05,"followers",37425
"67",2021-10-06,"followers",37819
"68",2021-10-07,"followers",38067
"69",2021-10-08,"followers",38318
"70",2021-10-09,"followers",38581
"71",2021-10-10,"followers",38851
"72",2021-10-11,"followers",39733
"73",2021-10-12,"followers",40483
"74",2021-10-13,"followers",40966
"75",2021-10-14,"followers",41189
"76",2021-10-15,"followers",41338
"77",2021-10-16,"followers",41558
"78",2021-10-17,"followers",41761
"79",2021-10-18,"followers",41943
"80",2021-10-19,"followers",42235
"81",2021-10-20,"followers",42511
"82",2021-10-21,"followers",42807
"83",2021-10-22,"followers",44421
"84",2021-10-23,"followers",44895
"85",2021-10-24,"followers",45235
"86",2021-10-25,"followers",45532
"87",2021-10-26,"followers",45853
"88",2021-10-27,"followers",46134
"89",2021-10-28,"followers",46336
"90",2021-10-29,"followers",46551
"91",2021-10-30,"followers",46753
"92",2021-10-31,"followers",46970
"93",2021-11-01,"followers",47263
"94",2021-11-02,"followers",47448
"95",2021-11-03,"followers",47681
"96",2021-11-04,"followers",47960
"97",2021-11-05,"followers",48194
"98",2021-11-06,"followers",48467
"99",2021-11-07,"followers",48733
"100",2021-11-08,"followers",48990
"101",2021-11-09,"followers",49266
"102",2021-11-10,"followers",49891
"103",2021-11-11,"followers",50322
"104",2021-11-12,"followers",50632
"105",2021-11-13,"followers",50957
"106",2021-11-14,"followers",51282
"107",2021-11-15,"followers",51759
"108",2021-11-16,"followers",52339
"109",2021-11-17,"followers",54205
"110",2021-11-18,"followers",54809
"111",2021-11-19,"followers",55168
"112",2021-11-20,"followers",55489
"113",2021-11-21,"followers",55873
"114",2021-11-22,"followers",56169
"115",2021-11-23,"followers",56701
"116",2021-11-24,"followers",57069
"117",2021-11-25,"followers",57658
"118",2021-11-26,"followers",57924
"119",2021-11-27,"followers",58176
"120",2021-11-28,"followers",58646
"121",2021-11-29,"followers",58970
"122",2021-11-30,"followers",59161
"123",2021-12-01,"followers",59395
"124",2021-12-02,"followers",59712
